|I| [export__sceAppMgrLoadExec]: sceAppMgrLoadExec run self: app0:rc1.self
[10:32:55.568] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.568] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.569] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.570] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.570] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.571] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.572] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.572] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.573] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.574] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.576] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.576] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.577] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.578] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.578] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.579] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.580] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.581] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.582] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.582] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.583] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.584] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.584] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.585] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.586] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.586] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.586] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.588] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.588] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.588] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.591] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.592] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.592] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.594] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.594] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.594] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.595] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.595] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.596] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.598] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.598] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.598] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.599] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.600] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.600] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.601] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.601] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.602] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.603] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.603] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.604] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.605] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.607] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.608] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.609] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.609] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.610] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.611] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.611] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.612] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.613] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.614] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.614] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.616] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.616] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.616] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.617] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.618] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.619] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.620] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.622] |E| [open_file]: Cannot find device for path: tty3:
[10:32:55.623] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[10:32:55.624] |I| [export_sceIoOpen]: Opening file: tty3:
[10:32:55.625] |E| [open_file]: Cannot find device for path: tty3:
