[04:46:00.949] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Xml.dll of fd: 0x7
[04:46:00.950] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/System.Xml.Linq.dll of fd: 0x7
[04:46:00.950] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.dll of fd: 0x7
[04:46:00.951] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.dll.mdb of fd: 0x7
[04:46:00.952] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.Networking.dll of fd: 0x7
[04:46:00.952] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityEngine.UI.dll of fd: 0x7
[04:46:00.953] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/UnityScript.Lang.dll of fd: 0x7
[04:46:00.953] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x7
[04:46:00.954] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Managed/mono (ux0:/app/PCSG00684/Media/Managed/mono), fd: 0x8
[04:46:00.955] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mono/2.0 of fd: 0x8
[04:46:00.956] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x8
[04:46:00.956] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Managed/mono/2.0 (ux0:/app/PCSG00684/Media/Managed/mono/2.0), fd: 0x9
[04:46:00.957] |T| [read_dir]: _sceIoDread: Reading entry app0:/Media/Managed/mono/2.0/machine.config of fd: 0x9
[04:46:00.958] |T| [close_dir]: sceIoDclose: Closing dir fd: 0x9
[04:46:00.959] |T| [open_dir]: _sceIoDopen: Opening dir app0:/Media/Modules (ux0:/app/PCSG00684/Media/Modules), fd: 0xa
